specimen_id,source_crs,longitude,latitude,mada_geom_point,sampled_layers,nodata_layers,is_categorical_encoded,env_71_alt_Altitude (meters),env_72_slo_Slope (degrees),env_73_asp_Aspect; clockwise from North (degrees),"env_74_solrad_Solar radiation; computed from altitude, slope and aspect (Wh.m-2.day-1)","env_75_geo_Rock types (categ_vals: 1, 2, 4, 5, 6, 7, 9, 10, 11, 12, 13)","env_76_soi_Soil types (categ_vals: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23)","env_77_veg_Vegetation types (categ_vals: 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 22, 23, 25)","env_78_wat_Watersheds (categ_vals: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25)",env_79_forcov_Percentage of forest cover in 1 km by 1 km grid cells (%)
dubardii_790,4326,49.10972,-12.90888,POINT (946172.4869802331 8569361.573989293),9,0,False,136.0,5.0,287.0,7919.0,7.0,22.0,5,13.0,44.0
resinosa_791,4326,48.48527,-20.76222,POINT (862959.2639645257 7700251.067593895),9,0,False,8.0,1.0,275.0,7513.0,2.0,21.0,15,3.0,55.0
humbertii_797,4326,43.714444,-23.002222,POINT (368248.68293934595 7455656.6169750225),9,0,False,135.0,1.0,184.0,7371.0,5.0,15.0,7,6.0,30.0
dubardii_804,4326,44.732222,-16.931667,POINT (471486.44712923677 8127984.871431336),9,0,False,98.0,4.0,52.0,7811.0,9.0,18.0,5,8.0,49.0
perrieri_807,4326,46.109722,-24.310833,POINT (612602.9442835674 7310910.256040464),9,0,False,427.0,13.0,161.0,6633.0,9.0,22.0,7,6.0,0.0
perrieri_809,4326,46.15777,-24.33638,POINT (617455.2353885227 7308041.618179116),9,0,False,233.0,2.0,235.0,7307.0,9.0,6.0,12,6.0,99.0
resinosa_811,4326,48.482222,-20.801944,POINT (862546.49456094 7695855.550765952),9,1,False,4.0,1.0,241.0,7521.0,,21.0,16,3.0,73.0
resinosa_816,4326,48.605833,-20.359444,POINT (876515.097472524 7744616.072313964),9,0,False,8.0,3.0,292.0,7574.0,1.0,21.0,16,3.0,32.0
perrieri_823,4326,44.272222,-22.853611,POINT (425334.6020387369 7472501.129658243),9,0,False,417.0,2.0,118.0,7415.0,7.0,16.0,4,6.0,24.0
perrieri_826,4326,44.263056,-22.845833,POINT (424389.89161773876 7473357.517090762),9,0,False,511.0,20.0,64.0,7633.0,9.0,18.0,7,6.0,19.0
perrieri_839,4326,46.145833,-24.303611,POINT (616274.0138389035 7311680.2718815375),9,0,False,372.0,12.0,271.0,7183.0,9.0,22.0,12,6.0,99.0
millotii_844,4326,49.786667,-16.4525,POINT (1011467.5626294343 8174949.434287034),9,0,False,291.0,4.0,62.0,7830.0,10.0,11.0,14,2.0,96.0
dubardii_854,4326,49.174722,-12.482778,POINT (953998.425574085 8616481.108686537),9,0,False,735.0,17.0,84.0,7848.0,9.0,8.0,14,12.0,100.0
pervilleana_855,4326,44.561389,-18.117778,POINT (453598.0444822846 7996728.646278196),9,0,False,346.0,4.0,25.0,7781.0,7.0,6.0,5,8.0,91.0
perrieri_857,4326,44.472222,-17.939722,POINT (444108.44066143275 8016404.069405051),9,0,False,226.0,7.0,256.0,7610.0,7.0,16.0,5,8.0,83.0
dubardii_859,4326,49.174722,-12.482778,POINT (953998.425574085 8616481.108686537),9,0,False,735.0,17.0,84.0,7848.0,9.0,8.0,14,12.0,100.0
tsirananae_869,4326,49.3375,-12.323889,POINT (972017.7710497924 8633812.113639003),9,0,False,299.0,18.0,123.0,7208.0,5.0,23.0,5,1.0,40.0
dubardii_876,4326,49.174722,-12.482778,POINT (953998.425574085 8616481.108686537),9,0,False,735.0,17.0,84.0,7848.0,9.0,8.0,14,12.0,100.0
pervilleana_878,4326,44.561389,-18.117778,POINT (453598.0444822846 7996728.646278196),9,0,False,346.0,4.0,25.0,7781.0,7.0,6.0,5,8.0,91.0
millotii_885,4326,48.556111,-19.158611,POINT (874113.995799795 7877808.812782688),9,0,False,640.0,18.0,106.0,7313.0,10.0,11.0,14,2.0,37.0
dubardii_886,4326,49.1725,-12.487778,POINT (953747.6522378414 8615930.676070265),9,0,False,751.0,14.0,262.0,7917.0,9.0,8.0,14,12.0,100.0
dubardii_887,4326,49.218333,-12.578889,POINT (958578.37993952 8605751.270235546),9,0,False,865.0,8.0,199.0,7779.0,9.0,8.0,14,1.0,68.0
perrieri_888,4326,44.561944,-18.111389,POINT (453655.0801252412 7997435.6652677115),9,0,False,272.0,9.0,170.0,7307.0,7.0,6.0,5,8.0,68.0
perrieri_892,4326,44.156111,-22.718056,POINT (413336.17977458896 7487444.3116107825),9,0,False,1026.0,4.0,147.0,7417.0,9.0,18.0,9,6.0,51.0
perrieri_894,4326,44.145556,-22.707778,POINT (412245.6174909298 7488575.926597946),9,0,False,906.0,10.0,264.0,7553.0,9.0,18.0,22,6.0,100.0
millotii_899,4326,48.556111,-19.158611,POINT (874113.995799795 7877808.812782688),9,0,False,640.0,18.0,106.0,7313.0,10.0,11.0,14,2.0,37.0
dubardii_900,4326,49.1725,-12.487778,POINT (953747.6522378414 8615930.676070265),9,0,False,751.0,14.0,262.0,7917.0,9.0,8.0,14,12.0,100.0
dubardii_901,4326,49.218333,-12.578889,POINT (958578.37993952 8605751.270235546),9,0,False,865.0,8.0,199.0,7779.0,9.0,8.0,14,1.0,68.0
perrieri_903,4326,44.561944,-18.111389,POINT (453655.0801252412 7997435.6652677115),9,0,False,272.0,9.0,170.0,7307.0,7.0,6.0,5,8.0,68.0
heimii_914,4326,49.583333,-12.970278,POINT (997562.5370361647 8561677.38843384),9,0,False,95.0,9.0,201.0,7586.0,10.0,10.0,6,1.0,6.0
abbayesii_924,4326,47.136111,-24.842778,POINT (715860.4092442521 7250769.964015225),9,1,False,5.0,3.0,311.0,7362.0,,21.0,7,5.0,18.0
abbayesii_947,4326,47.166111,-24.796389,POINT (718974.5237810896 7255860.966205925),9,0,False,0.0,0.0,246.0,7250.0,2.0,21.0,6,5.0,18.0
perrieri_966,4326,44.324103,-18.035903,POINT (428460.9159202189 8005711.63349002),9,0,False,98.0,2.0,223.0,7656.0,9.0,18.0,6,8.0,0.0
pervilleana_967,4326,44.2843,-17.543506,POINT (424039.94182844 8060174.991797281),9,0,False,91.0,2.0,65.0,7729.0,9.0,18.0,7,8.0,27.0
pervilleana_974,4326,44.324308,-18.035903,POINT (428482.61458970286 8005711.7127337),9,0,False,98.0,2.0,223.0,7656.0,9.0,18.0,6,8.0,0.0
perrieri_975,4326,44.287778,-22.820556,POINT (426912.9520842602 7476168.222233592),9,0,False,529.0,13.0,345.0,7973.0,7.0,18.0,6,6.0,18.0
resinosa_1010,4326,47.683333,-23.183333,POINT (774689.0495582593 7433651.614332899),9,0,False,12.0,2.0,276.0,7297.0,9.0,19.0,16,4.0,0.0
tsirananae_1011,4326,49.21111,-12.17833,POINT (958492.770916003 8650167.71906347),9,0,False,82.0,13.0,272.0,7765.0,6.0,23.0,5,12.0,17.0
tsirananae_1014,4326,49.35805,-12.35083,POINT (974209.3759546173 8630788.703325663),9,0,False,160.0,11.0,284.0,7929.0,6.0,20.0,5,1.0,55.0
dubardii_1018,4326,44.749167,-16.958611,POINT (473294.59883002134 8125006.562071315),9,0,False,199.0,5.0,141.0,7620.0,9.0,18.0,5,8.0,71.0
pervilleana_1020,4326,49.36583,-12.37888,POINT (975006.5888685924 8627664.81945074),9,0,False,277.0,11.0,175.0,7910.0,6.0,20.0,7,1.0,33.0
heimii_1022,4326,49.35305,-12.37361,POINT (973623.1924143073 8628271.887355782),9,0,False,250.0,14.0,331.0,8092.0,6.0,20.0,5,1.0,47.0
pervilleana_1023,4326,49.36583,-12.37888,POINT (975006.5888685924 8627664.81945074),9,0,False,277.0,11.0,175.0,7910.0,6.0,20.0,7,1.0,33.0
heimii_1025,4326,49.45611,-12.58472,POINT (984462.6304257289 8604676.940310588),9,0,False,251.0,3.0,268.0,7940.0,6.0,17.0,6,1.0,21.0
humbertii_1031,4326,43.625806,-23.250722,POINT (359422.60418981465 7428059.369993826),9,1,False,6.0,1.0,341.0,7370.0,,3.0,6,6.0,9.0
perrieri_1035,4326,46.673333,-24.798889,POINT (669145.0586935519 7256284.505210571),9,0,False,177.0,11.0,154.0,6728.0,10.0,6.0,12,6.0,82.0
abbayesii_1042,4326,47.166111,-24.796389,POINT (718974.5237810896 7255860.966205925),9,0,False,0.0,0.0,246.0,7250.0,2.0,21.0,6,5.0,18.0
resinosa_1046,4326,47.683333,-23.183333,POINT (774689.0495582593 7433651.614332899),9,0,False,12.0,2.0,276.0,7297.0,9.0,19.0,16,4.0,0.0
tsirananae_1047,4326,49.21111,-12.17833,POINT (958492.770916003 8650167.71906347),9,0,False,82.0,13.0,272.0,7765.0,6.0,23.0,5,12.0,17.0
humbertii_1049,4326,46.981111,-24.884722,POINT (700125.395282866 7246360.4464457035),9,0,False,308.0,23.0,156.0,5548.0,10.0,9.0,14,5.0,90.0
heimii_1050,4326,49.45611,-12.58472,POINT (984462.6304257289 8604676.940310588),9,0,False,251.0,3.0,268.0,7940.0,6.0,17.0,6,1.0,21.0
pervilleana_1053,4326,49.36583,-12.37888,POINT (975006.5888685924 8627664.81945074),9,0,False,277.0,11.0,175.0,7910.0,6.0,20.0,7,1.0,33.0
