,env_71_alt,env_72_slo,env_73_asp,env_74_solrad,env_75_geo,env_76_soi,env_77_veg,env_78_wat,env_79_forcov,caffeine_class
333,243.0,4.0,231.0,7572.0,7.0,16.0,5,8.0,42.0,Absent
334,243.0,4.0,231.0,7572.0,7.0,16.0,5,8.0,42.0,Low
335,340.0,15.0,56.0,7835.0,7.0,6.0,5,8.0,100.0,Absent
337,40.0,5.0,295.0,7956.0,7.0,23.0,6,1.0,0.0,Absent
338,141.0,7.0,246.0,7788.0,7.0,20.0,7,1.0,4.0,Absent
339,184.0,3.0,313.0,7969.0,9.0,8.0,7,1.0,3.0,Absent
340,465.0,28.0,157.0,6070.0,10.0,11.0,4,3.0,47.0,Absent
341,211.0,18.0,347.0,8061.0,10.0,11.0,16,3.0,18.0,Absent
342,12.0,0.0,174.0,7360.0,9.0,12.0,15,4.0,7.0,Absent
343,92.0,13.0,173.0,6717.0,10.0,11.0,16,3.0,16.0,Low
344,267.0,13.0,176.0,7291.0,6.0,18.0,14,10.0,96.0,Low
345,8.0,3.0,292.0,7574.0,1.0,21.0,16,3.0,32.0,Absent
346,92.0,13.0,173.0,6717.0,10.0,11.0,16,3.0,16.0,Absent
347,92.0,13.0,173.0,6717.0,10.0,11.0,16,3.0,16.0,Low
348,92.0,13.0,173.0,6717.0,10.0,11.0,16,3.0,16.0,Absent
349,92.0,13.0,173.0,6717.0,10.0,11.0,16,3.0,16.0,Low
350,92.0,13.0,173.0,6717.0,10.0,11.0,16,3.0,16.0,Absent
351,92.0,13.0,173.0,6717.0,10.0,11.0,16,3.0,16.0,Absent
352,92.0,13.0,173.0,6717.0,10.0,11.0,16,3.0,16.0,Absent
353,92.0,13.0,173.0,6717.0,10.0,11.0,16,3.0,16.0,Absent
355,4.0,2.0,275.0,7405.0,9.0,21.0,16,4.0,40.0,Absent
356,92.0,13.0,173.0,6717.0,10.0,11.0,16,3.0,16.0,Absent
358,4.0,1.0,250.0,7880.0,2.0,4.0,3,1.0,64.0,Absent
