specimen_id,source_crs,longitude,latitude,mada_geom_point,sampled_layers,nodata_layers,is_categorical_encoded,env_71_alt_Altitude (meters),env_72_slo_Slope (degrees),env_73_asp_Aspect; clockwise from North (degrees),"env_74_solrad_Solar radiation; computed from altitude, slope and aspect (Wh.m-2.day-1)","env_75_geo_Rock types (categ_vals: 1, 2, 4, 5, 6, 7, 9, 10, 11, 12, 13)","env_76_soi_Soil types (categ_vals: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23)","env_77_veg_Vegetation types (categ_vals: 1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 22, 23, 25)","env_78_wat_Watersheds (categ_vals: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25)",env_79_forcov_Percentage of forest cover in 1 km by 1 km grid cells (%)
lancifolia_1477,4326,47.863972,-21.382389,POINT (796975.9344399704 7632823.713043112),9,0,False,201.0,15.0,48.0,7777.0,10.0,11.0,16.0,3.0,0.0
humbertii_1478,4326,44.681028,-22.878083,POINT (467281.86004469974 7469940.902690305),9,0,False,822.0,3.0,228.0,7435.0,6.0,16.0,22.0,6.0,100.0
perrieri_1479,4326,47.863972,-21.382389,POINT (796975.9344399704 7632823.713043112),9,0,False,201.0,15.0,48.0,7777.0,10.0,11.0,16.0,3.0,0.0
resinosa_1484,4326,49.706111,-16.760556,POINT (1002039.3540316921 8140977.840236956),9,0,False,13.0,1.0,213.0,7688.0,1.0,21.0,16.0,2.0,59.0
humbertii_1487,4326,44.681028,-22.878083,POINT (467281.86004469974 7469940.902690305),9,0,False,822.0,3.0,228.0,7435.0,6.0,16.0,22.0,6.0,100.0
farafanganensis_1518,4326,47.866667,-21.385167,POINT (797249.9425003562 7632510.862887254),9,0,False,78.0,6.0,11.0,7706.0,10.0,11.0,16.0,3.0,0.0
farafanganensis_1519,4326,47.863972,-21.382389,POINT (796975.9344399704 7632823.713043112),9,0,False,201.0,15.0,48.0,7777.0,10.0,11.0,16.0,3.0,0.0
coursiana_1523,4326,47.863972,-21.382389,POINT (796975.9344399704 7632823.713043112),9,0,False,201.0,15.0,48.0,7777.0,10.0,11.0,16.0,3.0,0.0
bonnieri_1547,4326,47.863972,-21.382389,POINT (796975.9344399704 7632823.713043112),9,0,False,201.0,15.0,48.0,7777.0,10.0,11.0,16.0,3.0,0.0
bertrandii_1551,4326,47.87025,-21.377056,POINT (797638.1241648034 7633402.610794082),9,0,False,92.0,13.0,173.0,6717.0,10.0,11.0,16.0,3.0,16.0
augagneuri_1555,4326,47.863972,-21.382389,POINT (796975.9344399704 7632823.713043112),9,0,False,201.0,15.0,48.0,7777.0,10.0,11.0,16.0,3.0,0.0
boiviniana_1559,4326,47.863972,-21.382389,POINT (796975.9344399704 7632823.713043112),9,0,False,201.0,15.0,48.0,7777.0,10.0,11.0,16.0,3.0,0.0
abbayesii_1562,4326,47.867861,-21.377889,POINT (797388.5523752098 7633314.85921484),9,0,False,92.0,13.0,173.0,6717.0,10.0,11.0,16.0,3.0,16.0
abbayesii_1570,4326,47.863972,-21.382389,POINT (796975.9344399704 7632823.713043112),9,0,False,201.0,15.0,48.0,7777.0,10.0,11.0,16.0,3.0,0.0
boiviniana_1571,4326,45.883351,-17.069855,POINT (593994.9392850803 8112504.526375175),9,0,False,328.0,2.0,176.0,7808.0,7.0,20.0,5.0,8.0,89.0
sakarahae_1572,4326,44.13667,-22.68333,POINT (411317.20960794884 7491277.145140041),9,0,False,1159.0,6.0,162.0,7366.0,9.0,18.0,9.0,6.0,100.0
perrieri_1573,4326,45.989,-17.06269,POINT (605241.6544511776 8113243.330755414),9,0,False,169.0,5.0,223.0,7472.0,7.0,20.0,5.0,8.0,21.0
boiviniana_1574,4326,45.893891,-17.154961,POINT (595073.3182192787 8103083.511422351),9,0,False,192.0,6.0,317.0,7878.0,7.0,20.0,6.0,8.0,0.0
liaudii_1578,4326,47.023333,-17.837778,POINT (714426.7846845408 8026601.802408832),9,0,False,1454.0,9.0,325.0,8238.0,10.0,9.0,6.0,20.0,0.0
bissetiae_1579,4326,47.709321,-14.999613,POINT (791367.4493059182 8339932.914383134),9,0,False,310.0,3.0,324.0,7904.0,7.0,18.0,5.0,9.0,15.0
