,specimen_id,longitude,latitude
933, mangoroensis Portères_933,48.421111,-18.937778
940, commersoniana (Baill.) A. Chev._940,46.993889,-24.974167
944, boiviniana (Baill.) Drake_944,45.341667,-16.461111
945, sakarahae J.-F. Leroy_945,44.137222,-22.701667
946, sambavensis J.-F. Leroy ex A.P. Davis & Rakotonas._946,48.5825,-19.165
947, abbayesii J.-F. Leroy_947,47.166111,-24.796389
949, richardii J.-F. Leroy_949,48.950556,-19.044722
952, mangoroensis Portères_952,48.280278,-18.854722
955, buxifolia A. Chev._955,47.808611,-19.270833
956, richardii J.-F. Leroy_956,48.950556,-19.044722
961, tetragona Jum. & H. Perrier_961,44.315803,-18.033509
965, moratii J.-F. Leroy ex A.P. Davis & Rakotonas._965,44.315803,-18.033509
966, perrieri Drake ex Jum. & H. Perrier_966,44.324103,-18.035903
967, pervilleana (Baill.) Drake_967,44.2843,-17.543506
970, mangoroensis Portères_970,48.290556,-18.85
973, perrieri Drake ex Jum. & H. Perrier_973,,
974, pervilleana (Baill.) Drake_974,44.324308,-18.035903
975, perrieri Drake ex Jum. & H. Perrier_975,44.287778,-22.820556
977, commersoniana (Baill.) A. Chev._977,47.021111,-24.941944
978, commersoniana (Baill.) A. Chev._978,47.001389,-24.9575
979, richardii J.-F. Leroy_979,50.041667,-14.101389
981, tricalysioides J.-F. Leroy_981,47.0975,-24.511111
984, mangoroensis Portères_984,48.279445,-18.846944
985, richardii J.-F. Leroy_985,49.25027,-18.55944
986, richardii J.-F. Leroy_986,49.25611,-18.56527
987, mangoroensis Portères_987,48.26833,-18.84194
988, mangoroensis Portères_988,48.35694,-18.83527
989, mangoroensis Portères_989,48.29638,-18.80138
990, mangoroensis Portères_990,48.27222,-18.89055
991, liaudii J.-F. Leroy ex A.P. Davis_991,48.26916,-18.85722
994, grevei Drake ex A. Chev._994,43.565278,-22.876944
995, bonnieri Dubard_995,48.092222,-13.761667
997, richardii J.-F. Leroy_997,49.43333,-17.7
998, bonnieri Dubard_998,48.092222,-13.761667
1000, liaudii J.-F. Leroy ex A.P. Davis_1000,48.271389,-18.859444
1001, bonnieri Dubard_1001,48.092222,-13.761667
1002, mangoroensis Portères_1002,48.27583,-18.84027
1005, commersoniana (Baill.) A. Chev._1005,46.868333,-25.061944
1009, tricalysioides J.-F. Leroy_1009,49.352222,-15.136111
1010, resinosa (Hook. f.) Radlk._1010,47.683333,-23.183333
1011, tsirananae J.-F. Leroy_1011,49.21111,-12.17833
1013, coursiana J.-F. Leroy_1013,49.389722,-13.737222
1014, tsirananae J.-F. Leroy_1014,49.35805,-12.35083
1018, dubardii Jum._1018,44.749167,-16.958611
1019, kalobinonensis A.P. Davis & Rakotonas._1019,48.67,-13.65
1020, pervilleana (Baill.) Drake_1020,49.36583,-12.37888
1021, callmanderi A.P. Davis & Rakotonas._1021,48.67,-13.64
1022, heimii J.-F. Leroy_1022,49.35305,-12.37361
1023, pervilleana (Baill.) Drake_1023,49.36583,-12.37888
1024, bissetiae A.P. Davis & Rakotonas._1024,46.41,-16.71
1025, heimii J.-F. Leroy_1025,49.45611,-12.58472
1026, liaudii J.-F. Leroy ex A.P. Davis_1026,48.28388,-18.84583
1028, homollei_1028,48.731111,-17.503889
1029, sakarahae J.-F. Leroy_1029,44.158889,-22.687222
1030, sambavensis J.-F. Leroy ex A.P. Davis & Rakotonas._1030,49.965833,-14.152778
1031, humbertii J.-F. Leroy_1031,43.625806,-23.250722
1032, commersoniana (Baill.) A. Chev._1032,46.993889,-24.974167
1034, commersoniana (Baill.) A. Chev._1034,47.001944,-24.944167
1035, perrieri Drake ex Jum. & H. Perrier_1035,46.673333,-24.798889
1036, mangoroensis Portères_1036,48.421111,-18.937778
1037, toshii A.P. Davis & Rakotonas._1037,46.955,-22.496667
1039, mangoroensis Portères_1039,48.29638,-18.80138
1040, moratii J.-F. Leroy ex A.P. Davis & Rakotonas._1040,44.537222,-18.086389
1041, tricalysioides J.-F. Leroy_1041,47.703333,-20.308333
1042, abbayesii J.-F. Leroy_1042,47.166111,-24.796389
1043, mangoroensis Portères_1043,48.26833,-18.84194
1044, liaudii J.-F. Leroy ex A.P. Davis_1044,48.271389,-18.859444
1045, sakarahae J.-F. Leroy_1045,45.096667,-21.095278
1046, resinosa (Hook. f.) Radlk._1046,47.683333,-23.183333
1047, tsirananae J.-F. Leroy_1047,49.21111,-12.17833
1048, commersoniana (Baill.) A. Chev._1048,46.890278,-25.0525
1049, humbertii J.-F. Leroy_1049,46.981111,-24.884722
1050, heimii J.-F. Leroy_1050,49.45611,-12.58472
1051, mangoroensis Portères_1051,48.279445,-18.869167
1053, pervilleana (Baill.) Drake_1053,49.36583,-12.37888
1054, sakarahae J.-F. Leroy_1054,46.726945,-24.777222
1055, mangoroensis Portères_1055,48.34166,-18.7875
1056, resinosa (Hook. f.) Radlk._1056,47.753611,-23.089722
1057, grevei Drake ex A. Chev._1057,43.565278,-22.876944
1058, mangoroensis Portères_1058,48.443333,-18.9225
1059, mangoroensis Portères_1059,48.30583,-18.87222
1060, liaudii J.-F. Leroy ex A.P. Davis_1060,48.27777,-18.86777
1062, abbayesii J.-F. Leroy_1062,47.136111,-24.842778
1063, resinosa (Hook. f.) Radlk._1063,47.733333,-23.166667
1065, millotii J.-F. Leroy_1065,49.98194,-15.62083
1067, liaudii J.-F. Leroy ex A.P. Davis_1067,48.28388,-18.84583
1068, bertrandii A. Chev._1068,46.674722,-25.122222
1069, ratsimamangae J.-F. Leroy ex A.P. Davis & Rakotonas._1069,49.355,-12.343889
1070, jumellei J.-F. Leroy_1070,49.17361,-12.52388
1071, tricalysioides J.-F. Leroy_1071,49.12972,-14.21888
1072, richardii J.-F. Leroy_1072,49.45833,-17.70305
1073, perrieri Drake ex Jum. & H. Perrier_1073,46.109722,-24.310833
1074, mangoroensis Portères_1074,48.27555,-18.86305
1075, perrieri Drake ex Jum. & H. Perrier_1075,46.15777,-24.33638
1076, mangoroensis Portères_1076,48.34527,-18.82194
1077, sambavensis J.-F. Leroy ex A.P. Davis & Rakotonas._1077,50.09027,-13.71277
1079, perrieri Drake ex Jum. & H. Perrier_1079,45.365556,-21.188611
1080, liaudii J.-F. Leroy ex A.P. Davis_1080,47.023333,-17.837778
1084, dubardii Jum._1084,49.133333,-12.566667
1088, bissetiae A.P. Davis & Rakotonas._1088,45.8,-16.05
1089, microdubardii A.P. Davis & Rakotonas._1089,49.56,-13.21
1090, buxifolia A. Chev._1090,46.44583,-23.42
1091, perrieri Drake ex Jum. & H. Perrier_1091,44.263056,-22.845833
1093, abbayesii J.-F. Leroy_1093,46.45,-24.36666
1094, resinosa (Hook. f.) Radlk._1094,48.554167,-20.3725
1095, perrieri Drake ex Jum. & H. Perrier_1095,44.156111,-22.718056
1096, perrieri Drake ex Jum. & H. Perrier_1096,46.145833,-24.303611
1097, richardii J.-F. Leroy_1097,50.0,-14.1
1098, tetragona Jum. & H. Perrier_1098,47.99,-13.77
1099, leroyi A.P. Davis_1099,48.76777,-17.50694
1100, richardii J.-F. Leroy_1100,49.459444,-17.705556
1101, richardii J.-F. Leroy_1101,49.2425,-18.040833
1102, leroyi A.P. Davis_1102,48.72222,-17.54222
1104, tetragona Jum. & H. Perrier_1104,44.507222,-18.047778
