env_77_veg_16,clim_60_pet5_may,env_79_forcov,clim_34_prec10_oct,clim_39_isotherm,clim_69_cwd_annual,env_76_soi_9,env_76_soi_10,clim_40_temp_season,env_78_wat_3,clim_70_ndm_per_year,env_73_asp,env_77_veg_14,env_76_soi_11,env_71_alt,caffeine_percent
0.9767762100894,75.41309760802257,0.012206205862135229,171.42029824966613,60.112707348859104,18.30853292899696,-0.005356153611738587,-0.020453359966398903,2521.263698205679,0.9913240319395256,0.920679771653007,49.74814240527876,0.00589650868617946,1.0383078826733305,218.06140817251367,0.027214846612845733
0.03140791272062915,72.72214461567279,94.86031379625024,105.87720953696434,67.84377144223096,19.347714025752445,0.9985391978078563,-0.008904510916600964,2272.472614543811,0.04257273527742611,2.9031619634893033,316.05023534863477,1.0159949455547839,0.010428249038717995,995.6439291685283,0.027739397176128337
1.017466045936398,69.72186736216815,8.163116543365637,177.9212893858328,60.93619383097211,56.66279651654345,0.025006632239673674,1.0032822362157063,2548.402833609161,1.0257884786002363,1.0582707174156087,211.95778416566407,-0.0027237070332553435,-0.02689897269431037,357.685435729657,0.03163336860402604
-0.004925940533117408,63.779561575124944,100.22137342872269,103.45187870753882,66.24338581330504,196.4978891388204,0.9981120938478814,-0.012417914784558446,2509.9608866513486,0.0034230053104838355,6.73102962271939,19.326038800616484,0.02613038960995434,-0.04632645049711577,985.6081409501805,0.019097563097917155
-0.008588957016365858,76.8274432978396,0.5070785382981322,50.67814193054204,66.03590518703204,716.7290669808518,-0.02163030748516469,0.0013257108223948294,2920.4753483007285,0.008444190488572196,12.348214732250538,149.87534865621893,-0.0520612503768404,-0.030344890425268455,329.84544739545265,0.018175417748212064
1.0266373819784822,77.33990862872194,0.21629204954843284,171.63547436765882,60.11824950539462,36.19796489839992,-0.009213558153812968,0.012271108064849075,2497.71260543376,0.9921251182942624,1.0653747121475374,2.8507503976879107,-0.0015659433622419127,1.0066184682884194,93.27758834845899,0.028980678514335098
-0.030025958852452888,87.5310816887639,100.42717826223908,138.8622530106162,61.192542708170336,15.520027568731535,-0.05469619814901472,1.0101128330091242,2250.7824702117014,0.032958138896313695,1.146682894090246,280.07199189404423,1.0039203772389118,-0.025646548910657364,145.3873594917257,0.027795313596949655
-0.01583831578906316,100.38115610477541,3.626142718734745,85.13894532188456,64.8969134779876,677.9963659103689,-0.018099851280965674,-0.0006744177350524443,1832.298516341005,-0.029742517253915354,7.780943396516731,213.09606566838514,0.00635018180083657,0.009768498407245451,113.84692902006311,0.024430535072751478
-0.0037017756895237545,63.85847226384142,101.97708559517626,104.47744080277421,66.26708604923857,223.37203427602577,0.9887119317959127,-0.027651902583575135,2511.204471720337,-0.004411777198345,6.878004391887163,25.218126455334904,-0.040668283480685165,-0.002597705931403296,1006.2193450313529,0.0445474957741336
0.01723779126637929,69.54567262192964,56.58659721464292,142.2630670726418,62.990202692863505,28.013906012926146,0.017862701999617803,0.024137641336894007,2530.740642620088,0.051094460767475036,0.8769636927143069,56.15735098494005,1.0141257670129378,1.031227781142605,641.8672925543257,0.05998217763001585
1.0282341631214138,74.601286627305,-0.4087460546174219,170.92072509889255,59.84886051373445,34.66649666472689,-0.008347330498505714,-0.0020069394955331376,2519.738112620688,1.0006780023650999,0.9716828960584201,57.043488715906356,-0.010454912575564555,0.9988881920526196,194.1510154248986,0.030038720726530417
0.004466097810396561,85.99049806524364,28.24615319742136,151.79018926243714,56.88991199915898,7.6846128649141505,0.013241092760998486,0.020994521571917984,2468.032177961705,-0.006383427963509673,-0.13213394383067736,33.88099443015478,0.9829286825856627,-0.013061853594730007,41.509310501244435,0.03222336022908657
